"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 18-Oct-2019","30 D % CHNG 
 18-Sep-2020"
"GODREJPROP","937.95","1,059.00","935.00","934.40","1,033.10","98.70","10.56",8420049,"8,472,169,103.31","1,189.25","505.00","7.75","21.20"
"APOLLOTYRE","132.45","143.35","132.15","131.70","141.80","10.10","7.67",17538130,"2,436,572,400.90","196.75","73.40","-23.99","12.66"
"POWERGRID","157.60","166.15","157.25","157.20","164.30","7.10","4.52",20572526,"3,347,355,705.46","211.00","122.15","-20.14","-3.96"
"JINDALSTEL","202.20","210.00","201.55","200.45","209.20","8.75","4.37",13220970,"2,728,147,159.50","238.75","62.00","102.22","19.90"
"SAIL","34.60","35.90","34.55","34.60","35.85","1.25","3.61",18830943,"662,284,265.31","51.90","20.15","-0.28","0.42"
"BHARTIARTL","405.70","420.20","403.55","405.00","419.50","14.50","3.58",23488238,"9,700,642,294.00","612.00","325.50","12.00","-10.42"
"LICHSGFIN","293.50","301.90","292.35","291.15","301.10","9.95","3.42",4603034,"1,360,150,516.66","486.75","185.25","-19.94","2.57"
"HINDPETRO","174.05","179.80","174.05","172.35","177.65","5.30","3.08",8351443,"1,479,625,156.31","328.00","150.00","-43.94","-6.10"
"BEL","90.00","92.80","89.15","89.95","92.60","2.65","2.95",9650774,"878,220,434.00","122.10","56.00","-19.90","-4.05"
"TATASTEEL","396.30","408.00","394.35","392.40","403.70","11.30","2.88",26351958,"10,602,710,301.30","506.00","250.85","13.98","8.21"
"DLF","168.20","174.20","165.05","167.45","172.25","4.80","2.87",18718295,"3,173,312,551.35","266.55","114.55","-3.42","13.30"
"HINDALCO","181.10","187.50","181.00","180.80","185.75","4.95","2.74",24286914,"4,498,907,949.36","221.20","84.90","0.11","11.25"
"GAIL","85.80","88.25","85.75","85.70","87.85","2.15","2.51",15809047,"1,377,600,355.58","139.75","65.00","-32.32","-0.62"
"NTPC","81.45","83.80","80.65","80.65","82.65","2.00","2.48",38563963,"3,176,899,271.94","125.00","73.20","-31.93","-6.80"
"ACC","1,585.35","1,625.60","1,581.05","1,579.55","1,618.20","38.65","2.45",2491967,"3,986,299,931.22","1,625.60","895.15","5.53","17.59"
"VEDL","101.00","104.40","99.75","99.25","101.45","2.20","2.22",73030582,"7,449,849,669.82","166.10","60.20","-32.15","-21.52"
"CONCOR","385.30","393.40","383.05","383.45","391.90","8.45","2.20",1534183,"596,045,437.33","632.75","263.40","-35.56","3.49"
"BPCL","360.50","363.05","345.10","343.35","350.50","7.15","2.08",60436258,"6,009,774,902.89","549.00","252.00","-34.55","-12.93"
"GRASIM","780.00","794.45","771.55","777.20","793.00","15.80","2.03",2409367,"1,887,064,421.74","836.90","385.05","4.72","10.45"
"PETRONET","222.65","226.75","222.65","221.55","225.95","4.40","1.99",3332492,"749,044,226.84","297.75","170.40","-18.32","0.09"
"RECLTD","97.40","99.85","96.85","97.45","99.35","1.90","1.95",5489554,"540,062,322.52","156.50","78.75","-25.75","-3.12"
"ULTRACEMCO","4,545.35","4,658.00","4,440.00","4,544.35","4,631.95","87.60","1.93",2032618,"9,290,629,375.86","4,754.10","2,910.00","8.94","19.34"
"RAMCOCEM","782.40","799.00","772.40","781.40","796.00","14.60","1.87",618466,"485,539,102.62","884.25","455.00","5.59","10.28"
"MRF","60,000.00","61,599.00","60,000.00","59,927.35","61,050.00","1,122.65","1.87",32354,"1,969,531,631.76","73,565.70","49,915.10","-4.94","4.96"
"AXISBANK","496.90","507.50","486.60","493.95","503.15","9.20","1.86",27029707,"13,493,229,734.40","765.85","286.00","-29.65","18.45"
"NMDC","83.65","85.65","83.50","83.65","85.20","1.55","1.85",5457621,"462,860,837.01","139.70","61.55","-22.22","2.34"
"HDFCBANK","1,230.60","1,251.00","1,221.70","1,223.95","1,245.25","21.30","1.74",17820565,"22,067,740,256.45","1,305.50","738.75","0.60","18.81"
"KOTAKBANK","1,375.00","1,400.00","1,358.65","1,368.80","1,392.25","23.45","1.71",4280457,"5,921,883,845.79","1,740.00","1,001.00","-14.46","8.19"
"BANKBARODA","42.20","43.30","41.65","41.85","42.55","0.70","1.67",30555633,"1,303,197,747.45","108.25","36.00","-52.80","-0.70"
"COALINDIA","113.65","116.90","113.55","113.65","115.40","1.75","1.54",20421826,"2,361,375,740.38","217.55","109.55","-44.88","-5.38"
"TORNTPOWER","303.00","308.60","301.95","302.35","307.00","4.65","1.54",513669,"157,121,073.72","368.90","231.95","9.35","-7.43"
"HDFC","2,030.00","2,067.45","2,005.35","2,015.30","2,045.80","30.50","1.51",8166501,"16,717,644,197.10","2,499.90","1,473.45","-3.13","19.94"
