"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 18-Oct-2019","30 D % CHNG 
 18-Sep-2020"
"VEDL","106.00","106.20","103.80","101.20","104.65","3.45","3.41",3551029,"372,964,575.87","166.10","60.20","-32.15","-21.52"
"ULTRACEMCO","4,675.00","4,735.55","4,675.00","4,629.10","4,730.05","100.95","2.18",97556,"458,136,633.84","4,754.10","2,910.00","8.94","19.34"
"LICHSGFIN","299.90","304.45","299.45","298.80","304.45","5.65","1.89",165945,"50,115,390.00","486.75","185.25","-19.94","2.57"
"APOLLOTYRE","141.80","142.95","141.50","140.65","142.95","2.30","1.64",473430,"67,288,605.90","196.75","73.40","-23.99","12.66"
"TATACHEM","321.50","326.00","319.55","321.45","325.85","4.40","1.37",86735,"28,094,333.85","779.80","197.00","-47.81","12.12"
"MINDTREE","1,360.00","1,375.00","1,358.05","1,354.05","1,372.55","18.50","1.37",40541,"55,414,682.08","1,605.85","675.00","85.69","6.52"
"ZEEL","181.20","183.00","180.55","180.55","182.80","2.25","1.25",495866,"90,292,239.94","364.00","114.00","-27.91","-14.31"
"BAJAJFINSV","5,848.00","5,990.00","5,845.95","5,904.15","5,971.90","67.75","1.15",31657,"187,382,214.98","9,950.00","3,985.30","-26.28","3.36"
"BRITANNIA","3,410.00","3,447.00","3,410.00","3,397.25","3,434.80","37.55","1.11",63486,"217,517,002.92","4,010.00","2,100.00","4.59","-6.39"
"SUNTV","426.90","431.50","425.95","426.90","431.50","4.60","1.08",13934,"5,977,267.98","551.30","259.55","-17.90","-10.05"
"SAIL","35.90","35.90","35.50","35.50","35.85","0.35","0.99",647789,"23,171,412.53","51.90","20.15","-0.28","0.42"
"COLPAL","1,435.00","1,443.90","1,430.00","1,426.80","1,440.35","13.55","0.95",67878,"97,470,771.66","1,642.60","1,065.00","-6.94","4.34"
"MANAPPURAM","167.80","168.70","165.00","167.15","168.60","1.45","0.87",141469,"23,696,057.50","194.80","74.25","5.62","6.91"
"MRF","61,042.45","61,560.00","61,001.00","61,042.45","61,473.75","431.30","0.71",467,"28,596,021.15","73,565.70","49,915.10","-4.94","4.96"
"DLF","173.75","173.75","171.80","172.10","173.30","1.20","0.70",626627,"108,318,743.22","266.55","114.55","-3.42","13.30"
"SHREECEM","21,200.00","21,290.00","21,163.75","21,147.50","21,290.00","142.50","0.67",1014,"21,530,576.34","25,355.00","15,410.00","8.36","11.87"
"RAMCOCEM","796.00","800.00","793.35","793.65","799.00","5.35","0.67",26376,"21,005,846.40","884.25","455.00","5.59","10.28"
"AMBUJACEM","253.00","255.20","252.20","253.35","255.05","1.70","0.67",208107,"52,759,286.64","255.20","136.55","29.33","20.79"
"ESCORTS","1,202.60","1,208.50","1,196.60","1,199.90","1,207.60","7.70","0.64",29096,"34,962,335.52","1,342.75","526.05","85.99","-1.11"
"IBULHSGFIN","152.00","152.70","151.20","151.60","152.55","0.95","0.63",158522,"24,101,684.88","376.70","81.00","-30.46","-2.32"
"BALKRISIND","1,394.00","1,399.00","1,389.25","1,389.20","1,397.95","8.75","0.63",10275,"14,319,445.50","1,514.70","679.00","67.24","5.37"
"CHOLAFIN","242.55","244.20","242.50","242.55","244.05","1.50","0.62",58601,"14,268,171.48","349.00","117.40","-17.65","4.89"
"PIDILITIND","1,498.00","1,508.85","1,495.00","1,496.80","1,505.80","9.00","0.60",17784,"26,712,635.04","1,709.90","1,185.55","10.86","3.57"
