"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 18-Oct-2019","30 D % CHNG 
 18-Sep-2020"
"TORNTPOWER","307.30","327.10","306.25","306.30","325.00","18.70","6.11",2891645,"913,123,658.10","368.90","231.95","15.13","-1.21"
"SRTRANSFIN","664.70","703.70","656.25","665.95","701.95","36.00","5.41",5635237,"3,851,402,727.65","1,340.20","431.37","-35.03","9.28"
"PETRONET","224.00","237.40","223.10","224.70","236.00","11.30","5.03",10873206,"2,542,807,955.16","297.75","170.40","-12.48","7.07"
"ASHOKLEY","74.95","79.50","74.80","75.50","79.20","3.70","4.90",53504736,"4,168,018,934.40","87.50","33.70","5.25","6.45"
"NTPC","82.30","85.90","81.40","82.30","85.70","3.40","4.13",34256607,"2,848,779,438.12","125.00","73.20","-30.07","-3.48"
"VEDL","106.00","107.75","103.30","101.20","104.85","3.65","3.61",79746114,"8,394,873,420.78","166.10","60.20","-28.58","-17.85"
"IDEA","8.50","9.00","8.40","8.60","8.90","0.30","3.49",169886240,"1,491,601,187.20","13.50","2.40","57.52","-13.17"
"LICHSGFIN","299.90","310.00","299.45","298.80","308.80","10.00","3.35",7982431,"2,441,985,291.52","486.75","185.25","-17.67","7.68"
"TATAMOTORS","129.70","134.60","128.45","130.25","134.25","4.00","3.07",48808808,"6,425,679,573.20","201.70","63.50","0.64","0.30"
"BHARTIARTL","419.00","432.35","418.00","419.00","431.00","12.00","2.86",26516990,"11,295,177,060.40","612.00","325.50","19.51","-8.56"
"IOC","75.85","78.25","75.50","76.00","78.05","2.05","2.70",21947260,"1,689,719,547.40","148.95","71.15","-46.23","2.04"
"TATAPOWER","53.90","55.60","53.45","53.95","55.40","1.45","2.69",15185287,"823,346,261.14","63.40","27.00","-9.82","7.09"
"IGL","376.95","392.50","376.95","380.70","390.05","9.35","2.46",4030264,"1,562,694,563.36","534.20","284.05","7.09","-4.75"
"BAJFINANCE","3,160.00","3,345.00","3,150.00","3,232.85","3,307.00","74.15","2.29",7085782,"23,292,028,301.30","4,923.40","1,783.00","-17.93","0.35"
"L&TFH","63.00","64.60","62.60","63.10","64.45","1.35","2.14",10517137,"671,414,026.08","134.00","45.90","-26.58","7.61"
"EXIDEIND","157.40","161.20","156.75","157.40","160.55","3.15","2.00",4068679,"648,466,059.02","208.25","124.70","-10.63","2.42"
"BRITANNIA","3,410.00","3,493.35","3,410.00","3,397.25","3,465.20","67.95","2.00",2266246,"7,840,214,011.76","4,010.00","2,100.00","4.97","-3.61"
"AMARAJABAT","730.00","752.70","729.00","734.95","749.50","14.55","1.98",1455171,"1,083,214,740.69","813.85","348.55","13.01","5.31"
"RECLTD","98.35","101.90","98.20","99.35","101.30","1.95","1.96",7490834,"750,207,025.10","156.50","78.75","-26.13","-0.73"
"TATASTEEL","401.90","413.55","400.10","404.05","411.70","7.65","1.89",20888422,"8,514,747,459.86","506.00","250.85","15.01","9.49"
"PFC","88.40","90.20","87.95","88.40","90.05","1.65","1.87",4741293,"422,828,509.74","133.40","74.15","-13.88","2.98"
"MINDTREE","1,360.00","1,419.00","1,358.05","1,354.05","1,378.90","24.85","1.84",2559077,"3,565,306,076.40","1,605.85","675.00","93.24","6.17"
"SAIL","35.90","36.50","35.10","35.50","36.15","0.65","1.83",38368116,"1,375,113,277.44","51.90","20.15","2.56","1.55"
"ZEEL","181.20","185.65","180.55","180.55","183.80","3.25","1.80",20327833,"3,727,108,180.55","364.00","114.00","-24.20","-6.90"
"INFRATEL","192.75","196.90","190.75","192.75","196.20","3.45","1.79",7602589,"1,473,761,877.65","296.50","120.05","-24.47","8.59"
"MRF","61,042.45","62,442.60","60,834.65","61,042.45","62,130.05","1,087.60","1.78",24154,"1,492,364,068.52","73,565.70","49,915.10","-3.22","7.87"
"AXISBANK","496.00","513.00","495.65","501.45","510.05","8.60","1.72",30022348,"15,172,093,785.28","765.85","286.00","-28.61","23.86"
"NMDC","84.70","87.00","83.65","85.25","86.65","1.40","1.64",4903788,"420,107,517.96","139.70","61.55","-19.22","6.78"
"ONGC","67.40","69.10","67.30","67.80","68.90","1.10","1.62",26356513,"1,810,428,877.97","149.65","50.00","-51.48","-0.94"
"IDFCFIRSTB","31.00","32.00","30.75","31.25","31.75","0.50","1.60",22481353,"711,085,195.39","47.95","17.65","-19.92","10.63"
"MGL","819.00","837.35","812.00","821.80","834.60","12.80","1.56",1053638,"866,585,645.86","1,246.20","663.90","-13.05","-2.67"
"HAVELLS","709.90","727.80","706.05","711.60","722.35","10.75","1.51",1357693,"977,525,383.07","727.80","447.05","7.53","8.81"
"PAGEIND","20,270.00","20,629.45","20,230.00","20,225.00","20,521.00","296.00","1.46",25499,"520,922,895.85","26,882.60","16,254.00","-8.77","11.81"
"BHARATFORG","453.10","467.20","452.75","457.45","464.00","6.55","1.43",1720250,"791,555,835.00","533.90","207.50","2.04","2.53"
"GMRINFRA","23.70","24.00","23.55","23.70","24.00","0.30","1.27",3578113,"84,872,840.36","28.25","14.10","20.56","9.20"
"BHEL","28.00","29.00","27.90","28.45","28.80","0.35","1.23",10844287,"309,170,622.37","61.10","18.40","-46.52","-11.66"
"LT","922.00","939.00","920.15","924.45","934.50","10.05","1.09",6151489,"5,744,506,487.76","1,491.95","661.00","-34.61","9.32"
"COALINDIA","115.00","116.70","114.10","115.10","116.35","1.25","1.09",13653952,"1,573,481,428.48","217.55","109.55","-44.54","-3.14"
"HINDPETRO","176.45","179.95","175.30","177.65","179.50","1.85","1.04",5008617,"889,730,723.88","328.00","150.00","-41.90","-0.58"
"CONCOR","392.00","397.30","385.30","391.75","395.80","4.05","1.03",1102171,"432,436,791.85","632.75","263.40","-35.41","6.81"
"GAIL","86.15","89.10","86.15","87.65","88.55","0.90","1.03",19366327,"1,703,849,449.46","139.75","65.00","-31.09","5.35"
"SUNTV","426.90","437.00","425.05","426.90","431.00","4.10","0.96",2302224,"990,877,209.60","551.30","259.55","-16.88","-10.35"
"BOSCHLTD","11,792.70","11,866.55","11,710.25","11,748.60","11,848.00","99.40","0.85",22523,"265,797,526.68","17,260.30","7,850.00","-19.10","-4.71"
"ICICIPRULI","410.00","416.05","408.90","411.60","414.75","3.15","0.77",2477603,"1,024,414,512.41","537.30","226.10","-14.67","2.67"
"BEL","92.35","95.15","91.65","92.40","93.10","0.70","0.76",9594464,"897,945,885.76","122.10","56.00","-18.30","0.98"
"ADANIPORTS","350.55","364.05","350.15","355.35","357.90","2.55","0.72",4506437,"1,621,461,096.97","428.85","203.00","-9.53","7.84"
"M&MFIN","131.45","133.30","129.80","131.85","132.80","0.95","0.72",7142917,"938,865,010.48","245.91","76.46","-60.27","12.31"
"HINDUNILVR","2,160.00","2,187.25","2,153.20","2,163.15","2,178.00","14.85","0.69",2632959,"5,712,046,572.96","2,614.30","1,757.30","2.16","7.53"
"M&M","599.80","606.95","594.10","600.85","605.00","4.15","0.69",3818892,"2,294,772,202.80","666.60","245.40","2.11","-1.86"
"ITC","167.55","169.10","167.00","167.65","168.80","1.15","0.69",22044453,"3,707,436,105.54","266.30","134.60","-32.86","-3.24"
"ACC","1,618.00","1,636.20","1,604.05","1,620.15","1,631.00","10.85","0.67",1839267,"2,981,709,304.38","1,636.20","895.15","6.74","19.72"
"COLPAL","1,435.00","1,443.90","1,413.80","1,426.80","1,436.00","9.20","0.64",1392162,"1,986,225,368.64","1,642.60","1,065.00","-8.22","6.73"
"TORNTPHARM","2,690.90","2,730.35","2,650.00","2,702.90","2,719.90","17.00","0.63",436467,"1,178,124,820.41","3,031.20","1,583.25","61.59","-0.42"
"JSWSTEEL","322.00","327.05","319.50","322.95","324.95","2.00","0.62",8493745,"2,748,151,194.75","327.05","132.50","46.16","19.71"
"TATACHEM","321.50","326.00","317.50","321.45","323.40","1.95","0.61",2734398,"880,530,843.96","779.80","197.00","-46.92","15.92"
"DIVISLAB","3,078.95","3,106.05","3,031.00","3,078.95","3,097.00","18.05","0.59",899754,"2,759,356,569.66","3,389.00","1,626.00","78.26","-4.42"
"BERGEPAINT","606.20","612.50","602.40","605.90","609.00","3.10","0.51",952199,"578,717,986.23","623.00","389.35","24.72","8.63"
"GODREJPROP","1,016.00","1,064.80","1,010.20","1,041.85","1,047.05","5.20","0.50",2602310,"2,686,234,497.50","1,189.25","505.00","10.16","23.97"
"BANKBARODA","42.40","43.20","41.85","42.55","42.75","0.20","0.47",27573809,"1,171,059,668.23","108.25","36.00","-53.65","1.30"
"VOLTAS","700.00","718.50","699.25","706.40","709.75","3.35","0.47",2919678,"2,074,402,022.22","741.00","427.45","0.27","7.86"
"AMBUJACEM","253.00","255.60","249.50","253.35","254.50","1.15","0.45",11569824,"2,924,388,714.24","255.60","136.55","28.86","22.63"
"POWERGRID","162.15","165.90","161.20","163.75","164.40","0.65","0.40",21969260,"3,600,981,406.60","211.00","122.15","-19.95","-2.19"
"PEL","1,313.95","1,325.00","1,295.50","1,316.75","1,322.00","5.25","0.40",755788,"992,221,160.04","1,837.45","606.85","-23.25","6.01"
"TATACONSUM","465.65","470.50","460.45","465.30","466.95","1.65","0.35",3460945,"1,613,111,855.05","591.95","213.70","-","-7.57"
"RBLBANK","179.50","182.15","178.00","180.45","181.00","0.55","0.30",11933360,"2,150,391,472.00","391.20","101.55","-30.10","9.00"
"WIPRO","341.00","348.20","340.85","343.45","344.00","0.55","0.16",9541284,"3,286,972,338.00","381.70","159.40","35.42","10.31"
"UPL","452.80","458.20","450.20","454.20","454.75","0.55","0.12",4495486,"2,041,040,553.72","617.75","240.15","-23.87","-14.11"
"APOLLOTYRE","141.80","143.50","138.40","140.65","140.80","0.15","0.11",13367846,"1,887,807,212.12","196.75","73.40","-23.07","13.87"
"BPCL","348.70","350.80","344.00","349.55","349.75","0.20","0.06",5829503,"2,024,994,457.11","549.00","252.00","-33.72","-10.91"
"BATAINDIA","1,358.00","1,372.00","1,353.50","1,361.65","1,361.95","0.30","0.02",445499,"607,259,686.90","1,895.45","1,000.00","-23.07","3.81"
"PNB","27.20","27.40","27.15","27.20","27.20","-","-",11305057,"308,175,853.82","69.65","26.30","-55.63","-9.48"
"MFSL","570.00","584.10","566.05","574.30","574.30","-","-",894289,"514,216,175.00","645.00","276.35","35.82","-3.29"
"CHOLAFIN","242.55","245.80","241.05","242.55","242.50","-0.05","-0.02",2637818,"642,546,086.62","349.00","117.40","-15.79","5.22"
"SBIN","201.90","204.60","201.10","203.75","203.60","-0.15","-0.07",33721761,"6,848,889,659.10","351.00","149.45","-26.19","9.18"
"GRASIM","791.75","794.45","781.00","791.75","791.00","-0.75","-0.09",1699846,"1,340,974,512.48","836.90","385.05","6.53","8.58"
"TCS","2,661.00","2,686.65","2,638.10","2,675.40","2,672.90","-2.50","-0.09",5262311,"14,023,900,945.67","2,885.00","1,506.05","29.03","5.87"
"HDFC","2,038.30","2,063.00","2,023.15","2,048.75","2,046.00","-2.75","-0.13",5030745,"10,275,850,044.45","2,499.90","1,473.45","-4.69","21.95"
"KOTAKBANK","1,388.00","1,405.00","1,377.55","1,393.30","1,391.50","-1.80","-0.13",3610102,"5,025,767,398.28","1,740.00","1,001.00","-13.67","9.64"
"DLF","173.75","175.10","170.80","172.10","171.85","-0.25","-0.15",15889305,"2,745,513,010.95","266.55","114.55","-1.40","15.81"
"UBL","964.95","966.20","952.25","961.45","960.00","-1.45","-0.15",714341,"684,067,228.42","1,365.00","749.50","-28.24","-0.80"
"CADILAHC","425.00","427.15","415.60","426.35","425.45","-0.90","-0.21",2951109,"1,246,902,574.68","447.90","202.00","71.74","8.28"
"ADANIENT","311.00","314.80","309.00","312.00","311.30","-0.70","-0.22",2381193,"743,265,583.02","335.60","116.40","76.54","11.09"
"ULTRACEMCO","4,675.00","4,735.55","4,528.60","4,629.10","4,616.00","-13.10","-0.28",1812783,"8,380,314,530.70","4,754.10","2,910.00","8.54","18.84"
"SBILIFE","788.30","788.30","771.30","785.35","783.00","-2.35","-0.30",1861965,"1,446,821,283.60","1,030.00","519.40","-20.81","-6.14"
"DRREDDY","5,036.70","5,044.70","4,831.00","5,046.75","5,029.15","-17.60","-0.35",4918148,"24,348,472,029.52","5,512.65","2,495.05","77.66","-2.82"
"MOTHERSUMI","106.75","106.80","104.00","107.05","106.55","-0.50","-0.47",14753113,"1,554,830,579.07","151.00","48.65","-1.49","-5.65"
"HDFCLIFE","563.00","566.80","558.15","562.70","560.00","-2.70","-0.48",2967366,"1,666,828,829.52","647.60","340.00","-7.69","-3.16"
"TVSMOTOR","445.90","452.60","438.00","446.10","443.70","-2.40","-0.54",2944505,"1,309,833,604.20","504.00","240.10","-4.44","-0.10"
"HCLTECH","858.90","878.00","851.55","871.05","866.00","-1.05","-0.12",9607800,"8,327,560,650.00","910.70","375.25","-20.90","5.51"
"RELIANCE","2,127.40","2,132.50","2,091.00","2,124.60","2,111.90","-12.70","-0.60",14215255,"29,952,110,895.20","2,369.35","866.98","51.32","-4.71"
"BAJAJFINSV","5,848.00","6,080.00","5,845.95","5,904.15","5,865.00","-39.15","-0.66",1229943,"7,325,749,598.31","9,950.00","3,985.30","-27.23","3.36"
"NATIONALUM","30.50","30.60","29.90","30.45","30.25","-0.20","-0.66",9450082,"285,392,476.40","48.75","24.40","-30.70","-5.32"
"CANBK","88.60","88.85","88.00","88.80","88.20","-0.60","-0.68",2401615,"212,230,717.55","234.25","73.65","-53.90","-1.34"
"FEDERALBNK","56.50","56.85","55.75","57.00","56.60","-0.40","-0.70",32543591,"1,832,855,045.12","96.95","35.70","-32.17","15.66"
"RAMCOCEM","796.00","801.95","782.10","793.65","788.00","-5.65","-0.71",635053,"500,758,342.09","884.25","455.00","4.92","11.58"
