"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 18-Oct-2019","30 D % CHNG 
 18-Sep-2020"
"NAUKRI","3,414.00","3,674.70","3,401.35","3,397.95","3,655.00","257.05","7.56",1276112,"4,544,196,548.64","3,785.90","1,581.10","60.95","5.65"
"BHARATFORG","468.20","498.75","462.00","464.10","494.00","29.90","6.44",6277026,"3,052,203,892.50","533.90","207.50","9.58","11.28"
"APOLLOTYRE","142.05","151.00","141.05","141.20","149.40","8.20","5.81",20076196,"2,958,829,766.48","196.75","73.40","-17.24","24.63"
"MOTHERSUMI","107.00","111.10","106.55","106.00","110.55","4.55","4.29",15887588,"1,733,812,478.44","151.00","48.65","-0.50","0.55"
"MARUTI","6,858.00","7,124.70","6,832.00","6,811.55","7,102.00","290.45","4.26",1758999,"12,350,213,418.84","7,758.70","4,001.10","-4.92","9.32"
"M&M","609.75","628.00","605.35","604.35","624.30","19.95","3.30",6421823,"3,962,136,354.54","666.60","245.40","8.21","5.55"
"TATASTEEL","413.00","426.00","412.20","409.65","423.05","13.40","3.27",28588850,"12,020,753,759.50","506.00","250.85","16.89","20.26"
"BOSCHLTD","11,900.00","12,264.75","11,802.00","11,811.70","12,190.00","378.30","3.20",50389,"606,562,122.51","17,260.30","7,850.00","-15.78","-5.55"
"CHOLAFIN","243.35","257.30","243.00","243.10","250.50","7.40","3.04",7921808,"1,992,651,584.32","349.00","117.40","-12.03","5.36"
"ASHOKLEY","79.55","83.50","78.55","79.25","81.60","2.35","2.97",88540480,"7,231,986,406.40","87.50","33.70","9.50","7.21"
"POWERGRID","165.10","171.40","164.70","165.10","169.90","4.80","2.91",16396341,"2,771,965,409.46","211.00","122.15","-16.16","5.85"
"BAJAJ-AUTO","3,030.00","3,095.50","2,997.15","3,006.20","3,090.00","83.80","2.79",1217666,"3,715,038,082.70","3,315.15","1,788.65","-1.51","4.22"
"MCDOWELL-N","518.00","529.85","517.80","515.20","527.65","12.45","2.42",1339601,"701,790,171.88","742.70","442.65","-16.03","2.95"
"MFSL","578.00","593.90","574.10","575.35","588.90","13.55","2.36",1280598,"746,934,395.46","645.00","276.35","46.08","-0.53"
"TATAMOTORS","134.90","138.90","134.10","133.50","136.65","3.15","2.36",68712845,"9,395,794,425.30","201.70","63.50","8.00","7.66"
"MRF","62,250.00","63,985.00","62,130.70","62,250.35","63,700.00","1,449.65","2.33",31802,"2,011,558,549.16","73,565.70","49,915.10","0.53","10.72"
"DABUR","512.00","520.90","509.80","507.15","518.90","11.75","2.32",4276157,"2,205,470,734.32","535.00","386.05","11.51","5.39"
"GMRINFRA","24.05","24.45","23.85","23.75","24.30","0.55","2.32",10488201,"252,870,526.11","28.25","14.10","22.42","3.40"
"BALKRISIND","1,365.00","1,393.00","1,329.70","1,357.65","1,388.90","31.25","2.30",963234,"1,318,937,051.52","1,514.70","679.00","65.32","2.37"
